"unitid","college","type","city","state","region","admissionRate","ACTmath","ACTenglish","undergrads","cost","gradRate","FYretention","fedloan","debt"
157216,"Lindsey Wilson College","private","Columbia","KY","Southeast",NA,NA,NA,2127,33342,0.2983,0.5736,0.8083,19169
199971,"Carolina Christian College","private","Winston Salem","NC","Southeast",NA,NA,NA,36,12300,NA,1,1,NA
441511,"Apex School of Theology","private","Durham","NC","Southeast",NA,NA,NA,620,10705,0.8,0.9,0.9341,NA
101541,"Judson College","private","Marion","AL","Southeast",0.7388,20,23,331,27815,0.4051,0.5974,0.711,26000
136774,"Ringling College of Art and Design","private","Sarasota","FL","Southeast",0.7331,NA,NA,1253,54676,0.6495,0.7788,0.5762,27000
107512,"Ouachita Baptist University","private","Arkadelphia","AR","Southeast",0.7011,24,26,1513,31473,0.6022,0.7631,0.5033,23500
198215,"Catawba College","private","Salisbury","NC","Southeast",0.4058,NA,NA,1273,37818,0.5263,0.7,0.678,22780
159568,"Louisiana College","private","Pineville","LA","Southeast",0.7423,20,21,1081,22940,0.4251,0.5308,0.589,22707
219505,"American Baptist College","private","Nashville","TN","Southeast",NA,NA,NA,141,26086,0.5,0.6,0.7611,22375
139658,"Emory University","private","Atlanta","GA","Southeast",0.2633,NA,NA,7705,58180,0.8961,0.9438,0.3868,19500
198419,"Duke University","private","Durham","NC","Southeast",0.1342,33,33,6501,59528,0.9423,0.972,0.371,6500
175980,"Millsaps College","private","Jackson","MS","Southeast",0.4745,24,27,734,44435,0.6318,0.7524,0.5362,27000
199759,"Southeastern Baptist Theological Seminary","private","Wake Forest","NC","Southeast",0.6721,21,22,543,NA,0.5556,0.8082,0,NA
232025,"Emory & Henry College","private","Emory","VA","Southeast",0.6572,21,21,907,40866,0.4792,0.7254,0.7143,27000
176479,"William Carey University","private","Hattiesburg","MS","Southeast",0.4877,22,24,2166,23962,0.6196,0.7746,0.7997,23978.5
217934,"Columbia College","private","Columbia","SC","Southeast",0.6499,21,22,995,37599,0.4244,0.6417,0.7994,29527
199607,"Salem College","private","Winston Salem","NC","Southeast",0.582,24,25,950,39859,0.6387,0.7965,0.7915,23000
139630,"Emmanuel College","private","Franklin Springs","GA","Southeast",0.4783,NA,NA,709,23842,0.4571,0.6406,0.6385,26502
218742,"University of South Carolina-Upstate","public","Spartanburg","SC","Southeast",0.6422,20,21,4952,20848,0.405,0.661,0.6512,23250
218645,"University of South Carolina-Aiken","public","Aiken","SC","Southeast",0.5122,21,21,2956,18466,0.4212,0.6578,0.5839,26000
198543,"Fayetteville State University","public","Fayetteville","NC","Southeast",0.5496,18,17,5077,13188,0.3215,0.7133,0.7136,21232
197869,"Appalachian State University","public","Boone","NC","Southeast",0.6323,25,26,15840,17780,0.6857,0.8718,0.4596,19526
220862,"University of Memphis","public","Memphis","TN","Southeast",0.6841,21,23,16178,20899,0.432,0.7583,0.6224,26393.5
100724,"Alabama State University","public","Montgomery","AL","Southeast",0.5125,17,17,5354,17400,0.2517,0.6219,0.8735,33452
238032,"West Virginia University","public","Morgantown","WV","Southeast",0.851,23,23,22130,16898,0.5744,0.7707,0.5348,23808
159993,"University of Louisiana at Monroe","public","Monroe","LA","Southeast",0.7724,21,23,5863,14925,0.4017,0.6721,0.4092,21207
160658,"University of Louisiana at Lafayette","public","Lafayette","LA","Southeast",0.593,23,24,14261,15342,0.4482,0.7426,0.3735,20898
176044,"Mississippi Valley State University","public","Itta Bena","MS","Southeast",0.2272,17,16,1856,17758,0.2598,0.5296,0.7721,29038
175856,"Jackson State University","public","Jackson","MS","Southeast",0.6464,18,19,6880,18724,0.3852,0.7552,0.7633,31000
102094,"University of South Alabama","public","Mobile","AL","Southeast",0.8604,22,24,11048,17125,0.3342,0.6787,0.5549,25000
103787,"American Indian College of the Assemblies of God Inc","private","Phoenix","AZ","Southwest",NA,NA,NA,77,20601,0.5,0.6667,0.6986,NA
225399,"Houston Baptist University","private","Houston","TX","Southwest",0.7318,23,23,2165,36095,0.4388,0.6284,0.5765,25000
229160,"Texas Wesleyan University","private","Fort Worth","TX","Southwest",0.2992,21,19,1719,30696,0.4123,0.705,0.8133,26000
207458,"Oklahoma City University","private","Oklahoma City","OK","Southwest",0.7198,25,27,1954,41431,0.6075,0.8145,0.4877,24168
228325,"Southwestern Assemblies of God University","private","Waxahachie","TX","Southwest",0.3486,NA,NA,1669,29652,0.3238,0.6697,0.7516,26500
188304,"Western New Mexico University","public","Silver City","NM","Southwest",NA,NA,NA,2166,15121,0.17,0.5481,0.3826,17658
223214,"Texas A & M University Health Science Center","public","Bryan","TX","Southwest",NA,NA,NA,243,NA,NA,NA,0.5534,19253
188030,"New Mexico State University-Main Campus","public","Las Cruces","NM","Southwest",0.852,21,20,12886,17290,0.4328,0.7399,0.4438,19500
222831,"Angelo State University","public","San Angelo","TX","Southwest",0.8049,21,20,5430,19511,0.2975,0.5457,0.5526,21594
207865,"Southwestern Oklahoma State University","public","Weatherford","OK","Southwest",0.9026,21,21,3985,16660,0.3292,0.7008,0.6484,16759
